,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
160,Moctezuma,0,MX,1578373953,38,29.81,-109.68,49.51,7.34
161,Glen Allen,1,US,1578373954,86,37.67,-77.51,34.0,3.78
162,Nsanje,39,MZ,1578373954,70,-16.92,35.26,83.7,1.28
163,Nemuro,20,JP,1578373954,70,43.32,145.57,32.0,6.93
164,Malanje,98,AO,1578373954,95,-9.54,16.35,67.62,0.56
165,Solnechnyy,0,RU,1578373954,93,50.72,136.64,6.66,2.62
166,Margate,75,AU,1578373954,63,-43.03,147.26,68.0,12.75
167,Ouadda,100,CF,1578373955,28,8.07,22.4,71.15,6.2
168,Salym,53,RU,1578373955,94,60.06,71.48,4.82,5.21
169,Cape Town,96,ZA,1578373917,72,-33.93,18.42,70.0,2.24
170,Lavrentiya,94,RU,1578373955,98,65.58,-170.99,-8.23,3.27
171,Maniitsoq,100,GL,1578373955,99,65.42,-52.9,0.41,14.94
172,Azanka,1,RU,1578373956,90,58.04,64.79,8.38,3.09
173,Baruun-Urt,0,MN,1578373956,86,46.68,113.28,7.39,6.13
174,Karoi,90,ZW,1578373956,81,-16.82,29.68,72.16,7.18
175,Ostrovnoy,16,RU,1578373956,95,68.05,39.51,9.81,8.16
176,Marystown,98,CA,1578373957,89,47.17,-55.16,23.86,7.2
177,Vardo,1,US,1578373957,59,39.62,-77.74,39.2,4.7
178,Pathalgaon,0,IN,1578373957,33,22.56,83.46,71.22,3.6
179,Lakatoro,100,VU,1578373958,80,-16.11,167.42,82.44,14.32
180,Ugoofaaru,81,MV,1578373958,77,5.67,73.0,83.07,20.22
181,Cururupu,100,BR,1578373958,97,-1.82,-44.87,73.9,1.88
182,Muntilan,40,ID,1578373958,83,-7.58,110.28,84.99,3.38
183,Alta Floresta,96,BR,1578373958,97,-9.87,-56.08,71.15,2.75
184,Rundu,96,NA,1578373958,100,-17.91,19.77,68.0,4.7
185,Rio Grande,65,BR,1578373660,95,-32.03,-52.1,71.01,1.01
186,Morondava,0,MG,1578373959,57,-20.3,44.28,90.73,1.45
187,Vila Franca do Campo,75,PT,1578373959,93,37.72,-25.43,64.4,8.05
188,Zheleznogorsk,0,RU,1578373959,85,56.25,93.53,12.2,1.74
189,Kavaratti,20,IN,1578373959,70,10.57,72.64,84.2,4.7
190,Amalapuram,19,IN,1578373960,69,16.58,82.0,77.0,14.99
191,Dutlwe,100,BW,1578373960,63,-23.98,23.93,73.51,8.08
192,Konevo,95,BG,1578373960,48,41.67,25.61,37.0,8.99
193,Urucara,97,BR,1578373865,97,-2.54,-57.76,74.07,2.1
194,Saint George,20,GR,1578373961,63,39.45,22.34,33.8,4.7
195,Keti Bandar,0,PK,1578373961,47,24.14,67.45,67.91,18.77
196,Abeche,0,TD,1578373961,23,13.83,20.83,67.48,10.04
197,Nouakchott,98,MR,1578373961,27,18.08,-15.98,61.57,16.26
198,Tupanatinga,33,BR,1578373865,82,-8.75,-37.34,72.48,4.29
199,Am Timan,17,TD,1578373962,32,11.04,20.28,69.44,3.83
200,Saint-Philippe,90,CA,1578373962,92,45.36,-73.48,30.2,4.7
201,Waingapu,80,ID,1578373963,76,-9.65,120.26,84.06,25.52
202,Ilulissat,100,GL,1578373963,63,69.22,-51.1,-7.6,17.22
203,Constitucion,99,MX,1578373963,31,23.99,-104.67,52.41,4.07
204,Pinsk,91,BY,1578373963,93,52.11,26.1,28.54,5.23
205,Tautira,40,PF,1578373964,74,-17.73,-149.15,84.2,11.41
206,Haines Junction,100,CA,1578373964,99,60.75,-137.51,-3.57,1.77
207,Chulym,100,RU,1578373964,95,55.09,80.97,13.89,9.31
208,Tiksi,100,RU,1578373965,86,71.64,128.87,-3.32,11.88
209,Ulladulla,59,AU,1578373965,61,-35.36,150.48,80.6,12.75
210,Honiara,75,SB,1578373965,56,-9.43,159.96,93.2,14.99
211,Magdagachi,18,RU,1578373965,94,53.45,125.8,-3.62,3.22
212,Mocuba,90,MZ,1578373966,85,-16.84,36.99,79.99,2.66
213,Faya,0,SA,1578373966,81,18.39,42.45,57.2,11.41
214,Sorland,75,NO,1578373966,93,67.67,12.69,42.8,23.04
215,Longyearbyen,78,NO,1578373966,61,78.22,15.63,12.2,31.09
216,Purpe,15,RU,1578373967,90,64.48,76.69,5.0,14.63
217,Marondera,75,ZW,1578373967,88,-18.19,31.55,68.0,8.05
218,Thompson,90,CA,1578373964,83,55.74,-97.86,-5.8,9.17
219,Lima,20,PE,1578373881,83,-12.06,-77.04,71.6,11.41
220,Voh,91,NC,1578373968,77,-20.95,164.69,77.67,19.57
221,Yellowknife,75,CA,1578373968,67,62.45,-114.38,-23.8,5.82
222,Sao Filipe,98,CV,1578373968,66,14.9,-24.5,68.05,18.88
223,Huai Thalaeng,36,TH,1578373969,43,15.0,102.65,91.4,5.82
224,Talcahuano,42,CL,1578373969,76,-36.72,-73.12,55.4,8.05
225,Ponta do Sol,0,BR,1578373969,92,-20.63,-46.0,65.73,0.89
226,Bograd,75,RU,1578373969,84,54.22,90.86,5.0,4.43
227,Znamenskoye,96,RU,1578373969,96,57.13,73.82,13.17,3.8
228,Hasaki,75,JP,1578373970,61,35.73,140.83,48.2,6.93
229,North Platte,1,US,1578373767,73,41.12,-100.77,28.0,6.93
230,College,20,US,1578373970,65,64.86,-147.8,-22.0,1.88
231,Fort Nelson,75,CA,1578373970,74,58.81,-122.69,-27.4,1.74
232,Victoria,75,BN,1578373971,70,5.28,115.24,87.8,2.24
233,Ambilobe,10,MG,1578373971,64,-13.19,49.05,87.64,1.52
234,Huarmey,9,PE,1578373971,86,-10.07,-78.15,66.87,1.72
235,Bowen,40,AU,1578373971,66,-20.01,148.25,88.0,12.75
236,Nha Trang,40,VN,1578373971,70,12.24,109.19,84.2,11.41
237,Oiso,75,JP,1578373972,65,35.32,139.28,50.0,9.17
238,Newcastle,100,AU,1578373706,62,-32.93,151.78,93.99,10.29
239,Cacahoatan,5,MX,1578373972,83,14.98,-92.17,75.2,6.93
240,Kenora,90,CA,1578373972,85,49.76,-94.48,21.2,9.17
241,Standerton,100,ZA,1578373972,96,-26.94,29.24,61.0,4.43
242,Lagoa,0,PT,1578373973,93,37.14,-8.45,52.0,3.36
243,Arkhipo-Osipovka,100,RU,1578373973,88,44.37,38.53,37.67,4.38
244,Balikpapan,40,ID,1578373973,66,-1.24,116.86,87.8,10.29
245,Cassilandia,100,BR,1578373973,93,-19.11,-51.73,72.19,4.47
246,Uige,99,AO,1578373973,96,-7.61,15.06,68.86,2.55
247,Taltal,1,CL,1578373974,89,-25.41,-70.49,59.9,2.19
248,Port Lincoln,0,AU,1578373974,49,-34.72,135.86,74.01,10.69
249,Vanavara,99,RU,1578373974,94,60.35,102.28,9.54,7.34
250,Mitzic,67,GA,1578373974,91,0.78,11.55,71.01,0.74
251,Dejen,44,ET,1578373974,44,10.16,38.15,74.25,1.68
252,Vestmannaeyjar,100,IS,1578373974,89,63.44,-20.27,41.54,35.95
253,Pochutla,0,MX,1578373975,86,15.74,-96.47,73.0,6.82
254,Balagansk,8,RU,1578373975,85,54.01,103.05,13.66,3.94
255,Tilaran,54,CR,1578373975,65,10.47,-84.97,78.8,10.29
256,Stettler,25,CA,1578373975,88,52.32,-112.71,5.0,1.01
257,Airai,51,TL,1578373975,49,-8.93,125.41,83.25,5.77
258,Thinadhoo,100,MV,1578373688,75,0.53,72.93,83.77,16.89
259,Wilmington,1,US,1578373811,47,39.75,-75.55,39.99,6.62
260,Ariquemes,100,BR,1578373976,98,-9.91,-63.03,73.6,1.74
261,Tilichiki,91,RU,1578373976,95,60.47,166.1,3.22,6.8
262,Sibolga,95,ID,1578373976,48,1.74,98.78,90.39,3.36
263,Batagay-Alyta,100,RU,1578373976,83,67.8,130.41,-10.03,3.71
264,Saint-Francois,90,FR,1578373977,100,46.42,3.91,41.0,3.36
265,Brae,67,GB,1578373977,87,60.4,-1.35,46.4,23.04
266,Ewa Beach,75,US,1578373977,83,21.32,-158.01,78.8,6.93
267,Arti,97,RU,1578373977,97,56.43,58.53,10.26,2.1
268,Araceli,37,PH,1578373977,79,10.55,119.99,81.66,15.95
269,Norman Wells,5,CA,1578373978,64,65.28,-126.83,-43.6,2.44
270,Panaba,0,MX,1578373978,78,21.28,-88.27,67.82,6.08
271,Palmer,0,AU,1578373978,23,-34.85,139.16,89.01,12.3
272,Santa Cruz,74,BR,1578373978,95,-6.22,-36.02,70.9,3.06
273,Churapcha,100,RU,1578373978,96,62.0,132.43,5.31,5.17
274,Kyren,0,RU,1578373978,60,51.68,102.13,14.07,5.06
275,Keetmanshoop,12,NA,1578373978,49,-26.57,18.15,75.97,5.21
276,Ibra,0,OM,1578373978,62,22.69,58.55,72.07,6.51
277,Sampit,83,ID,1578373978,49,-2.54,112.95,92.5,3.33
278,Ust-Tsilma,96,RU,1578373979,95,65.44,52.15,10.18,4.76
279,Zabid,0,YE,1578373979,46,14.2,44.5,63.59,3.83
280,Molepolole,93,BW,1578373979,73,-24.41,25.52,73.4,4.7
281,Coquimbo,0,CL,1578373979,68,-29.95,-71.34,64.4,3.36
282,Inhambane,40,MZ,1578373979,94,-23.87,35.38,77.0,5.99
283,Hamilton,20,CA,1578373730,79,43.26,-79.87,32.0,6.93
284,Tuatapere,97,NZ,1578373980,70,-46.13,167.69,57.0,11.99
285,Yuli,23,CN,1578373980,53,24.82,106.77,69.64,4.99
286,Jinji,56,CN,1578373980,64,22.16,112.49,77.0,2.77
